Data sourced from https://www.wordfrequency.info/top5000.asp
Rank,Word,Part of speech,Frequency,Dispersion
277,line,n,135986,0.98
278,political,j,144437,0.92
279,end,n,134104,0.98
280,among,i,138192,0.94
281,ever,r,135774,0.96
282,stand,v,140937,0.92
283,bad,j,134910,0.96
284,lose,v,134102,0.97
285,however,r,142282,0.91
286,member,n,134731,0.95
287,pay,v,133133,0.96
288,law,n,133706,0.95
289,meet,v,128737,0.98
290,car,n,133571,0.94
291,city,n,132684,0.95
292,almost,r,127907,0.98
293,include,v,133563,0.93
294,continue,v,126029,0.98
295,set,v,127369,0.97
296,later,r,126495,0.98
297,community,n,133057,0.93
298,much,r,126029,0.98
299,name,n,127139,0.97
300,five,m,125571,0.97
301,once,r,126203,0.97
302,white,j,126760,0.96
303,least,r,123961,0.98
304,president,n,134203,0.9
305,learn,v,124346,0.97
306,real,j,124187,0.97
307,change,v,123183,0.98
308,team,n,131489,0.92
309,minute,n,126660,0.95
310,best,j,124850,0.96
311,several,d,124039,0.97
312,idea,n,122140,0.98
313,kid,n,126428,0.95
314,body,n,125165,0.96
315,information,n,127331,0.94
316,nothing,p,126717,0.94
317,ago,r,125252,0.95
318,right,j,126278,0.94
319,lead,v,122691,0.97
320,social,j,132899,0.89
321,understand,v,121354,0.97
322,whether,c,121921,0.96
323,back,n,125006,0.94
324,watch,v,124976,0.94
325,together,r,119186,0.98
326,follow,v,119425,0.97
327,around,r,122789,0.94
328,parent,n,119610,0.97
329,only,j,117700,0.98
330,stop,v,121481,0.94
331,face,n,127291,0.89
332,anything,p,120292,0.94
333,create,v,119419,0.95
334,public,j,119825,0.95
335,already,r,115220,0.98
336,speak,v,117358,0.96
337,others,n,115771,0.97
338,read,v,114094,0.97
339,level,n,121704,0.91
340,allow,v,114892,0.97
341,add,v,117842,0.94
342,office,n,114791,0.97
343,spend,v,114569,0.97
344,door,n,124993,0.88
345,health,n,117762,0.94
346,person,n,113650,0.97
347,art,n,117851,0.93
348,sure,j,116186,0.94
349,such,i,119125,0.92
350,war,n,117804,0.93
351,history,n,114904,0.95
352,party,n,112962,0.96
353,within,i,114599,0.93
354,grow,v,110020,0.97
355,result,n,116277,0.92
356,open,v,111857,0.94
357,change,n,112426,0.94
358,morning,n,114002,0.92
359,walk,v,113787,0.92
360,reason,n,106863,0.97
361,low,j,108990,0.95
362,win,v,111478,0.93
363,research,n,114802,0.9
364,girl,n,110409,0.93
365,guy,n,110409,0.93
366,early,j,108171,0.95
367,food,n,107728,0.96
368,before,c,107448,0.96
369,moment,n,109720,0.94
370,himself,p,109288,0.94
371,air,n,105932,0.96
372,teacher,n,116100,0.88
373,force,n,108005,0.95
374,offer,v,106473,0.96
375,enough,r,105880,0.96
376,both,r,106361,0.95
377,education,n,113731,0.89
378,across,i,105559,0.96
379,although,c,107925,0.93
380,remember,v,106879,0.94
381,foot,n,107285,0.94
382,second,m,103621,0.97
383,boy,n,107447,0.93
384,maybe,r,108421,0.92
385,toward,i,105984,0.94
386,able,j,103171,0.97
387,age,n,103402,0.96
388,off,i,104122,0.95
389,policy,n,107601,0.92
390,everything,p,103591,0.95
391,love,v,103681,0.95
392,process,n,107341,0.91
393,music,n,102657,0.95
394,including,i,103650,0.94
395,consider,v,101987,0.96
396,appear,v,100671,0.97
397,actually,r,105155,0.92
398,buy,v,101105,0.95
399,probably,r,99754,0.96
400,human,j,101224,0.94
401,wait,v,102463,0.93
402,serve,v,99660,0.95
403,market,n,100435,0.94
404,die,v,98376,0.96
405,send,v,96613,0.97
406,expect,v,95566,0.98
407,home,r,97937,0.95
408,sense,n,95896,0.97
409,build,v,96651,0.96
410,stay,v,96933,0.96
411,fall,v,96908,0.95
412,oh,u,103613,0.89
413,nation,n,97212,0.95
414,plan,n,95824,0.96
415,cut,v,96012,0.95
416,college,n,97038,0.94
417,interest,n,96620,0.95
418,death,n,93222,0.98
419,course,r,96224,0.95
420,someone,p,95608,0.95
421,experience,n,98106,0.93
422,behind,i,95047,0.93
423,reach,v,92375,0.96
424,local,j,92970,0.95
425,kill,v,92660,0.95
426,six,m,90571,0.97
427,remain,v,91319,0.96
428,effect,n,95216,0.92
429,use,n,96564,0.9
430,yeah,u,103389,0.84
431,suggest,v,92643,0.93
432,class,n,91323,0.94
433,control,n,90301,0.94
434,raise,v,87036,0.98
435,care,n,88862,0.96
436,perhaps,r,87060,0.98
437,little,r,88697,0.95
438,late,j,86421,0.98
439,hard,j,86817,0.97
440,field,n,87243,0.96
441,else,r,87876,0.95
442,pass,v,86184,0.97
443,former,d,88930,0.94
444,sell,v,87865,0.95
445,major,j,87487,0.95
446,sometimes,r,84845,0.98
447,require,v,89280,0.93
448,along,i,84926,0.97
449,development,n,91995,0.9
450,themselves,p,85256,0.97
451,report,v,88138,0.93
452,role,n,88666,0.92
453,better,j,83895,0.98
454,economic,j,90392,0.91
455,effort,n,86473,0.95
456,up,i,85759,0.95
457,decide,v,84035,0.97
458,rate,n,87224,0.94
459,strong,j,83677,0.98
460,possible,j,85084,0.96
461,heart,n,84536,0.96
462,drug,n,86231,0.94
463,show,n,86828,0.94
464,leader,n,85438,0.95
465,light,n,87427,0.93
466,voice,n,89379,0.9
467,wife,n,83601,0.96
468,whole,j,83756,0.96
469,police,n,85880,0.93
470,mind,n,82808,0.96
471,finally,r,81951,0.97
472,pull,v,87243,0.91
473,return,v,81812,0.97
474,free,j,82090,0.97
475,military,j,85152,0.93
476,price,n,84443,0.94
477,report,n,83174,0.95
478,less,r,82930,0.95
479,according,i,83773,0.94
480,decision,n,82429,0.95
481,explain,v,80797,0.97
482,son,n,80895,0.97
483,hope,v,81385,0.96
484,even,c,79087,0.98
485,develop,v,84835,0.92
486,view,n,81338,0.96
487,relationship,n,84549,0.92
488,carry,v,79513,0.97
489,town,n,79821,0.97
490,road,n,80987,0.95
491,drive,v,80476,0.96
492,arm,n,84865,0.91
493,true,j,79299,0.97
494,federal,j,81826,0.94
495,break,v,79310,0.97
496,better,r,78334,0.98
497,difference,n,82911,0.92
498,thank,v,88574,0.86
499,receive,v,80250,0.95
500,value,n,82942,0.92
501,international,j,81610,0.93
502,building,n,78487,0.97
503,action,n,80009,0.95
504,full,j,77547,0.97
505,model,n,82973,0.91
506,join,v,80609,0.93
507,season,n,83743,0.89
508,society,n,81192,0.92
509,because,i,77116,0.97
510,tax,n,80713,0.92
511,director,n,79813,0.93
512,early,r,75605,0.98
513,position,n,77124,0.96
514,player,n,81358,0.91
515,agree,v,76753,0.96
516,especially,r,76304,0.96
517,record,n,77509,0.94
518,pick,v,77197,0.95
519,wear,v,77921,0.94
520,paper,n,75383,0.97
521,special,j,75298,0.97
522,space,n,75395,0.96
523,ground,n,74713,0.97
524,form,n,78493,0.92
525,support,v,76544,0.94
526,event,n,75559,0.95
527,official,n,79026,0.91
528,whose,d,74914,0.96
529,matter,n,73842,0.97
530,everyone,p,74534,0.96
531,center,n,74559,0.96
532,couple,n,74871,0.96
533,site,n,75932,0.94
534,end,v,73099,0.97
535,project,n,75446,0.94
536,hit,v,73999,0.95
537,base,v,75887,0.93
538,activity,n,77980,0.9
539,star,n,73695,0.95
540,table,n,75228,0.93
541,need,n,74877,0.93
542,court,n,74112,0.94
543,produce,v,74169,0.94
544,eat,v,73505,0.95
545,American,n,73063,0.95
546,teach,v,72668,0.95
547,oil,n,74386,0.93
548,half,d,70930,0.97
549,situation,n,72603,0.95
550,easy,j,71602,0.96
551,cost,n,73512,0.94
552,industry,n,73055,0.94
553,figure,n,74858,0.92
554,face,v,69493,0.98
555,street,n,71645,0.95
556,image,n,72216,0.94
557,itself,p,71093,0.96
558,phone,n,71599,0.95
559,either,r,69497,0.97
560,data,n,76594,0.88
561,cover,v,69387,0.97
562,quite,r,69966,0.96
563,picture,n,69229,0.97
564,clear,j,68662,0.98
565,practice,n,73745,0.91
566,piece,n,68901,0.97
567,land,n,69750,0.96
568,recent,j,70685,0.94
569,describe,v,71377,0.93
570,product,n,70883,0.94
571,doctor,n,69446,0.95
572,wall,n,71390,0.93
573,patient,n,72217,0.91
574,worker,n,69962,0.94
575,news,n,70051,0.94
576,test,n,69870,0.94
577,movie,n,69387,0.94
578,certain,j,67228,0.97
579,north,n,68046,0.96
580,love,n,67495,0.96
581,personal,j,67917,0.96
582,open,j,67218,0.97
583,support,n,69431,0.93
584,simply,r,66712,0.97
585,third,m,67037,0.97
586,technology,n,69565,0.93
587,catch,v,68214,0.94
588,step,n,66232,0.97
589,baby,n,67881,0.94
590,computer,n,67399,0.95
591,type,n,68481,0.93
592,attention,n,65271,0.97
593,draw,v,65198,0.97
594,film,n,66724,0.95
595,Republican,n,71611,0.88
596,tree,n,66630,0.94
597,source,n,66862,0.94
598,red,j,66217,0.94
599,nearly,r,64860,0.96
600,organization,n,67278,0.93
601,choose,v,64348,0.97
602,cause,v,64531,0.97
603,hair,n,69564,0.89
604,look,n,66194,0.94
605,point,v,62980,0.98
606,century,n,65667,0.94
607,evidence,n,65360,0.94
608,window,n,68303,0.9
609,difficult,j,63947,0.96
610,listen,v,64984,0.94
611,soon,r,63168,0.96
612,culture,n,67128,0.91
613,billion,m,65243,0.93
614,chance,n,62682,0.97
615,brother,n,63406,0.95
616,energy,n,64139,0.94
617,period,n,64534,0.93
618,course,n,64012,0.94
619,summer,n,62503,0.96
620,less,d,62154,0.96
621,realize,v,61732,0.97
622,hundred,m,61266,0.97
623,available,j,63187,0.94
624,plant,n,63476,0.93
625,likely,j,63002,0.94
626,opportunity,n,62422,0.95
627,term,n,62962,0.94
628,short,j,60451,0.98
629,letter,n,60369,0.98
630,condition,n,63489,0.93
631,choice,n,60487,0.97
632,place,v,60927,0.96
633,single,j,60072,0.97
634,rule,n,61062,0.95
635,daughter,n,60424,0.96
636,administration,n,62071,0.93
637,south,n,60630,0.96
638,husband,n,60126,0.96
639,Congress,n,62841,0.92
640,floor,n,62458,0.92
641,campaign,n,64172,0.9
642,material,n,62440,0.92
643,population,n,62999,0.91
644,well,i,61219,0.93
645,call,n,59543,0.96
646,economy,n,60990,0.93
647,medical,j,59424,0.96
648,hospital,n,58669,0.97
649,church,n,59466,0.96
650,close,v,60884,0.93
651,thousand,m,58307,0.97
652,risk,n,60432,0.94
653,current,j,61252,0.92
654,fire,n,59386,0.95
655,future,n,58020,0.97
656,wrong,j,58988,0.95
657,involve,v,59542,0.94
658,defense,n,59701,0.94
659,anyone,p,58274,0.96
660,increase,v,60442,0.93
661,security,n,58914,0.95
662,bank,n,58992,0.94
663,myself,p,59716,0.93
664,certainly,r,59739,0.93
665,west,n,58169,0.95
666,sport,n,59006,0.94
667,board,n,58436,0.95
668,seek,v,58495,0.94
669,per,i,59432,0.93
670,subject,n,61397,0.9
671,officer,n,57617,0.96
672,private,j,57248,0.96
673,rest,n,56714,0.97
674,behavior,n,62625,0.88
675,deal,v,57462,0.96
676,performance,n,59909,0.92
677,fight,v,56886,0.96
678,throw,v,57784,0.95
679,top,n,57743,0.95
680,quickly,r,56454,0.97
681,past,j,56588,0.96
682,goal,n,58728,0.93
683,second,n,56022,0.97
684,bed,n,60304,0.9
685,order,n,56483,0.96
686,author,n,58300,0.93
687,fill,v,56915,0.95
688,represent,v,58744,0.92
689,focus,v,57177,0.94
690,foreign,j,57540,0.94
691,drop,v,56448,0.95
692,plan,v,55829,0.96
693,blood,n,56351,0.95
694,upon,i,57033,0.94
695,agency,n,56954,0.94
696,push,v,56103,0.95
697,nature,n,57929,0.92
698,color,n,56978,0.94
699,no,r,54602,0.98
700,recently,r,55992,0.95
701,store,n,56147,0.95
702,reduce,v,57029,0.93
703,sound,n,56828,0.94
704,note,v,57025,0.93
705,fine,j,55174,0.96
706,before,r,55608,0.95
707,near,i,54869,0.96
708,movement,n,56201,0.94
709,page,n,55937,0.94
710,enter,v,54479,0.96
711,share,v,54010,0.97
712,than,i,55719,0.94
713,common,j,55940,0.93
714,poor,j,53820,0.97
715,other,p,54372,0.96
716,natural,j,55526,0.94
717,race,n,54838,0.95
718,concern,n,55203,0.94
719,series,n,54549,0.95
720,significant,j,58947,0.88
721,similar,j,55901,0.92
722,hot,j,54601,0.95
723,language,n,55799,0.92
724,each,p,53663,0.96
725,usually,r,53477,0.96
726,response,n,56342,0.91
727,dead,j,55111,0.93
728,rise,v,53542,0.95
729,animal,n,53127,0.96
730,factor,n,57612,0.89
731,decade,n,53727,0.95
732,article,n,54871,0.93
733,shoot,v,53038,0.95
734,east,n,53010,0.95
735,save,v,52067,0.97
736,seven,m,52011,0.97
737,artist,n,54353,0.92
738,away,i,52005,0.96
739,scene,n,51248,0.97
740,stock,n,54305,0.91
741,career,n,52101,0.95
742,despite,i,51526,0.96
743,central,j,52501,0.94
744,eight,m,50871,0.97
745,thus,r,57039,0.87
746,treatment,n,53390,0.92
747,beyond,i,50742,0.97
748,happy,j,51669,0.95
749,exactly,r,52685,0.93
750,protect,v,50649,0.97
751,approach,n,53980,0.91
752,lie,v,51657,0.95
753,size,n,51868,0.95
754,dog,n,52347,0.94
755,fund,n,53859,0.91
756,serious,j,50285,0.97
757,occur,v,52768,0.93
758,media,n,51798,0.94
759,ready,j,50833,0.96
760,sign,n,50045,0.98
761,thought,n,51509,0.95
762,list,n,50678,0.96
763,individual,n,54738,0.89
764,simple,j,50583,0.96
765,quality,n,52224,0.93
766,pressure,n,50773,0.96
767,accept,v,49952,0.97
768,answer,n,49969,0.97
769,hard,r,50793,0.95
770,resource,n,53398,0.9
771,identify,v,53484,0.9
772,left,j,50479,0.95
773,meeting,n,49916,0.96
774,determine,v,52130,0.92
775,prepare,v,49208,0.98
776,disease,n,51211,0.94
777,whatever,d,50200,0.96
778,success,n,50541,0.95
779,argue,v,51013,0.94
780,cup,n,53633,0.89
781,particularly,r,50329,0.95
782,amount,n,49944,0.95
783,ability,n,51476,0.93
784,staff,n,50177,0.95
785,recognize,v,50042,0.95
786,indicate,v,53215,0.89
787,character,n,49530,0.96
788,growth,n,50904,0.93
789,loss,n,49759,0.95
790,degree,n,50612,0.94
791,wonder,v,50875,0.93
792,attack,n,50898,0.93
793,herself,p,52915,0.89
794,region,n,50914,0.93
795,television,n,49673,0.95
796,box,n,49667,0.95
797,TV,n,49438,0.95
798,training,n,49997,0.93
799,pretty,r,50385,0.93
800,trade,n,49696,0.94
801,deal,n,48975,0.95
802,election,n,51322,0.91
803,everybody,p,51147,0.91
804,physical,j,51451,0.9
805,lay,v,49358,0.94
806,general,j,49657,0.93
807,feeling,n,47349,0.98
808,standard,n,49876,0.93
809,bill,n,49011,0.94
810,message,n,47533,0.97
811,fail,v,47503,0.97
812,outside,i,46628,0.98
813,arrive,v,47435,0.97
814,analysis,n,53840,0.85
815,benefit,n,48594,0.94
816,name,v,47375,0.97
817,sex,n,47827,0.95
818,forward,r,47877,0.95
819,lawyer,n,47853,0.95
820,present,v,49659,0.92
821,section,n,49764,0.91
822,environmental,j,51192,0.88
823,glass,n,49686,0.91
824,answer,v,47661,0.95
825,skill,n,50431,0.9
826,sister,n,48183,0.94
827,PM,r,54765,0.82
828,professor,n,46575,0.97
829,operation,n,47276,0.95
830,financial,j,47803,0.94
831,crime,n,48010,0.93
832,stage,n,46346,0.97
833,ok,r,54697,0.82
834,compare,v,48094,0.93
835,authority,n,47309,0.94
836,miss,v,46525,0.96
837,design,n,48605,0.92
838,sort,n,47086,0.95
839,one,n,45596,0.98
840,act,v,45648,0.98
841,ten,m,46827,0.95
842,knowledge,n,50335,0.88
843,gun,n,47305,0.94
844,station,n,46299,0.96
845,blue,j,47622,0.93
846,state,v,47977,0.93
847,strategy,n,49126,0.9
848,little,d,45469,0.97
849,clearly,r,45912,0.96
850,discuss,v,46852,0.94
851,indeed,r,46184,0.95
852,force,v,44931,0.97
853,truth,n,45155,0.97
854,song,n,45352,0.96
855,example,n,47134,0.93
856,democratic,j,47299,0.92
857,check,v,45760,0.95
858,environment,n,47807,0.91
859,leg,n,47477,0.91
860,dark,j,47565,0.91
861,public,n,45684,0.95
862,various,j,46777,0.92
863,rather,r,44934,0.96
864,laugh,v,48567,0.89
865,guess,v,48046,0.9
866,executive,n,47338,0.91
867,set,n,45121,0.96
868,study,v,44897,0.96
869,prove,v,44304,0.97
870,hang,v,46632,0.92
871,entire,j,43997,0.98
872,rock,n,45225,0.95
873,design,v,45946,0.94
874,enough,d,44378,0.97
875,forget,v,45571,0.94
876,since,i,45591,0.94
877,claim,v,44259,0.97
878,note,n,44720,0.96
879,remove,v,44683,0.96
880,manager,n,46187,0.93
881,help,n,43721,0.98
882,close,j,43568,0.98
883,sound,v,45311,0.94
884,enjoy,v,44020,0.97
885,network,n,45122,0.94
886,legal,j,44820,0.95
887,religious,j,46425,0.91
888,cold,j,44649,0.95
889,form,v,44646,0.95
890,final,j,43589,0.97
891,main,j,43707,0.97
892,science,n,45726,0.92
893,green,j,44673,0.94
894,memory,n,43531,0.97
895,card,n,43605,0.96
896,above,i,44130,0.95
897,seat,n,44404,0.95
898,cell,n,44831,0.94
899,establish,v,45921,0.91
900,nice,j,44792,0.93
901,trial,n,44489,0.94
902,expert,n,43898,0.95
903,that,r,43359,0.96
904,spring,n,44085,0.95
905,firm,n,44704,0.93
906,Democrat,n,46905,0.88
907,radio,n,43156,0.96
908,visit,v,42941,0.96
909,management,n,45112,0.92
910,care,v,42978,0.96
911,avoid,v,42890,0.96
912,imagine,v,43487,0.95
913,tonight,r,47549,0.87
914,huge,j,42582,0.96
915,ball,n,43512,0.94
916,no,u,44951,0.91
917,close,r,42826,0.95
918,finish,v,43143,0.95
919,yourself,p,43401,0.94
920,talk,n,43267,0.94
921,theory,n,45553,0.9
922,impact,n,43782,0.93
923,respond,v,42139,0.96
924,statement,n,42941,0.94
925,maintain,v,43493,0.93
926,charge,n,42353,0.95
927,popular,j,42399,0.95
928,traditional,j,43681,0.92
929,onto,i,43538,0.92
930,reveal,v,42605,0.94
931,direction,n,41280,0.97
932,weapon,n,43158,0.93
933,employee,n,42824,0.93
934,cultural,j,45673,0.87
935,contain,v,42542,0.94
936,peace,n,42273,0.94
937,head,v,41658,0.95
938,control,v,41771,0.95
939,base,n,41154,0.96
940,pain,n,41350,0.96
941,apply,v,42391,0.93
942,play,n,41662,0.95
943,measure,n,43938,0.9
944,wide,j,41233,0.96
945,shake,v,45160,0.87
946,fly,v,41373,0.95
947,interview,n,41594,0.95
948,manage,v,40536,0.97
949,chair,n,43256,0.91
950,fish,n,41488,0.95
951,particular,j,42291,0.93
952,camera,n,41218,0.95
953,structure,n,43638,0.9
954,politics,n,41758,0.94
955,perform,v,41667,0.94
956,bit,n,41915,0.93
957,weight,n,41919,0.93
958,suddenly,r,43382,0.9
959,discover,v,40489,0.97
960,candidate,n,43251,0.9
961,top,j,41484,0.94
962,production,n,42052,0.93
963,treat,v,40264,0.97
964,trip,n,40423,0.96
965,evening,n,40881,0.95
966,affect,v,41496,0.93
967,inside,i,40856,0.95
968,conference,n,40643,0.95
969,unit,n,41087,0.94
970,best,r,39959,0.97
971,style,n,40889,0.94
972,adult,n,40705,0.95
973,worry,v,40210,0.96
974,range,n,41326,0.93
975,mention,v,39815,0.97
976,rather,i,41558,0.93
977,far,j,39967,0.96
978,deep,j,40126,0.96
979,past,n,39559,0.97
980,edge,n,40960,0.94
981,individual,j,42325,0.9
982,specific,j,42397,0.9
983,writer,n,39666,0.96
984,trouble,n,39659,0.96
985,necessary,j,40776,0.93
986,throughout,i,40170,0.95
987,challenge,n,40380,0.94
988,fear,n,38857,0.98
989,shoulder,n,42843,0.89
990,institution,n,42153,0.9
991,middle,j,40402,0.94
992,sea,n,39516,0.96
993,dream,n,39613,0.96
994,bar,n,39853,0.95
995,beautiful,j,40052,0.94
996,property,n,40027,0.94
997,instead,r,39051,0.97
998,improve,v,40214,0.94
999,stuff,n,40180,0.94
1000,detail,n,38750,0.97
